name:,price:,discounted_price:,psn_price:,psn_old_price:,rating:,rating_count:,situation:,Collection Date:,Platform:,Release:,Genres:,Publisher:,Voice:,Screen Languages:,PS5 Voice:,PS5 Screen Languages:,PS4 Voice:,PS4 Screen Languages:,Link:
EA SPORTS FC™ 25 Standard Edition PS4 & PS5,"2.899,99 TL",,Game Trial,,3.31,29k ratings,Add to Cart,31/10/2024,"PS4, PS5",19/9/2024,Sport,EA Swiss Sarl,,,"Arabic, Chinese, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)","Czech, English, Polish, Russian, Turkish","English, French (France)","Czech, English, Polish, Russian, Turkish",https://store.playstation.com/en-tr/concept/10009762
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,"2.799,00 TL",,,,4.02,432k ratings,Add to Cart,31/10/2024,"PS4, PS5",24/10/2024,Action,Activision Blizzard Int'l BV,"English, French (France), German, Italian, Polish, Russian, Spanish","English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10001130
Fortnite,Free,,,,4.32,7m ratings,Add to Library,31/10/2024,PS5,21/7/2017,"Action, Adventure",Epic Games Inc.,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish","Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",,,,,https://store.playstation.com/en-tr/concept/228748
Grand Theft Auto Online (PlayStation®5),"111,35 TL","222,71 TL",,,4.51,740k ratings,Add to Cart,31/10/2024,PS5,14/3/2022,"Adventure, Action",Rockstar Games,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/201930
NBA 2K25 Standard Edition,"2.900,00 TL",,Game Trial,,3.12,7.6k ratings,Add to Cart,31/10/2024,"PS4, PS5",4/9/2024,Sport,2K,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",,,,,https://store.playstation.com/en-tr/concept/10010481
eFootball™,Free,,,,3.78,362k ratings,Add to Library,31/10/2024,PS5,30/9/2021,Sport,Konami,"Arabic, English, French (France), German, Italian, Portuguese (Portugal), Spanish","Arabic, English, French (France), German, Italian, Portuguese (Portugal), Russian, Spanish, Turkish",,,,,https://store.playstation.com/en-tr/concept/10002427
ASTRO BOT,"2.499,00 TL",,,,4.9,28k ratings,Add to Cart,31/10/2024,PS5,5/9/2024,Action,Sony Interactive Entertainment Europe,,"Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Romanian, Russian, Spanish, Spanish (Mexico), Swedish, Thai, Turkish, Ukrainian, Vietnamese",,,,,https://store.playstation.com/en-tr/concept/10002684
Diablo® IV - Expansion Bundle,"2.519,99 TL",,,,4.11,7.9k ratings,Add to Cart,31/10/2024,"PS4, PS5",9/6/2024,Unique,"Blizzard Entertainment, Inc.","Chinese, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",,,,,https://store.playstation.com/en-tr/concept/231761
Red Dead Redemption 2,"2.299,00 TL",,Included,"2.299,00 TL",4.73,304k ratings,Add to Cart,31/10/2024,PS4,25/10/2018,"Unique, Adventure, Action",Rockstar Games,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/209441
Minecraft,Free,,"699,00 TL",,4.31,1m ratings,Add to Library,31/10/2024,PS5,22/10/2024,"Adventure, Arcade, Unique",MOJANG AB,,"Bulgarian, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Slovenian, Spanish, Spanish (Mexico), Swedish, Turkish, Ukrainian",,,,,https://store.playstation.com/en-tr/concept/212779
